order_id,date,supplier,component,quantity,unit_price_eur,total_eur,delivery_days,quality_rating,notes
PO-2024-001,2024-01-15,OptiLens GmbH,CMOS Sensor 12MP,50,320.00,16000.00,21,5,On time
PO-2024-002,2024-01-22,Shenzhen Optocore,LED Illumination Module,100,45.00,4500.00,35,4,2 days late
PO-2024-003,2024-02-10,OptiLens GmbH,CMOS Sensor 12MP,50,320.00,16000.00,19,5,On time
PO-2024-004,2024-02-14,MedFrame Italia,Device Housing Unit,30,185.00,5550.00,14,5,Excellent quality
PO-2024-005,2024-03-05,Shenzhen Optocore,LED Illumination Module,150,42.00,6300.00,38,3,5 units defective
PO-2024-006,2024-03-20,TechOptics Japan,Optical Lens Assembly,40,580.00,23200.00,28,5,Premium quality
PO-2024-007,2024-04-01,MedFrame Italia,Device Housing Unit,50,185.00,9250.00,16,4,Minor scratches on 3 units
PO-2024-008,2024-04-18,OptiLens GmbH,CMOS Sensor 12MP,75,310.00,23250.00,22,5,Volume discount applied
PO-2024-009,2024-05-10,Shenzhen Optocore,LED Illumination Module,200,40.00,8000.00,42,3,8 days late — customs delay
PO-2024-010,2024-05-25,DigiBoard EU,Main PCB Board,60,210.00,12600.00,18,5,New supplier — good first order
PO-2024-011,2024-06-12,TechOptics Japan,Optical Lens Assembly,40,580.00,23200.00,30,5,Consistent quality
PO-2024-012,2024-07-01,OptiLens GmbH,CMOS Sensor 12MP,100,305.00,30500.00,20,5,Better volume price
PO-2024-013,2024-07-15,Shenzhen Optocore,LED Illumination Module,200,41.00,8200.00,36,4,On time this round
PO-2024-014,2024-08-05,MedFrame Italia,Device Housing Unit,80,180.00,14400.00,15,5,Bulk discount
PO-2024-015,2024-08-20,DigiBoard EU,Main PCB Board,80,205.00,16400.00,17,5,Reliable
PO-2024-016,2024-09-10,OptiLens GmbH,CMOS Sensor 12MP,100,305.00,30500.00,21,5,Standard order
PO-2024-017,2024-10-01,Shenzhen Optocore,LED Illumination Module,250,39.00,9750.00,40,3,12 defective units returned
PO-2024-018,2024-10-15,TechOptics Japan,Optical Lens Assembly,60,570.00,34200.00,32,5,Volume discount started
PO-2024-019,2024-11-05,MedFrame Italia,Device Housing Unit,100,175.00,17500.00,14,5,Best price yet
PO-2024-020,2024-11-20,DigiBoard EU,Main PCB Board,100,200.00,20000.00,19,4,1 board DOA replaced
PO-2024-021,2024-12-10,OptiLens GmbH,CMOS Sensor 12MP,120,300.00,36000.00,23,5,Year-end bulk
PO-2024-022,2025-01-08,Shenzhen Optocore,LED Illumination Module,200,39.50,7900.00,37,3,Late again
PO-2024-023,2025-01-20,TechOptics Japan,Optical Lens Assembly,50,575.00,28750.00,29,5,Consistent
PO-2024-024,2025-02-10,MedFrame Italia,Device Housing Unit,80,175.00,14000.00,13,5,Fast delivery
PO-2024-025,2025-02-25,DigiBoard EU,Main PCB Board,100,198.00,19800.00,18,5,Price improving
PO-2024-026,2025-03-10,OptiLens GmbH,CMOS Sensor 12MP,100,298.00,29800.00,20,5,New annual contract price
PO-2025-027,2025-03-15,Shenzhen Optocore,LED Illumination Module,300,38.00,11400.00,44,2,15 defective — quality declining
